Interface,Neighbor IP Address,Neighbor MAC Address,Origin,ARP Dynamic Learning Local Proxy Enabled,ARP Dynamic Learning Proxy Enable
GigabitEthernet1,10.10.20.175,5254.001f.b4db,static,False,True
GigabitEthernet1,10.10.20.254,0050.56bf.1c3f,dynamic,False,True
GigabitEthernet2,172.16.252.21,5254.001e.d479,static,False,True
GigabitEthernet3,172.16.252.25,5254.0006.f7ce,static,False,True
GigabitEthernet4,172.16.252.1,5254.000d.e743,dynamic,False,True
GigabitEthernet4,172.16.252.2,5254.000e.7bb9,static,False,True
GigabitEthernet5,172.16.252.10,5254.0016.7077,static,False,True
GigabitEthernet5,172.16.252.9,5254.0004.4185,dynamic,False,True
GigabitEthernet6,172.16.252.17,5254.0015.ac8a,static,False,True
GigabitEthernet6,172.16.252.18,5254.000c.8b4c,dynamic,False,True