Interface,Description,Enabled,Status,Access VLAN,Native VLAN,Switchport,Switchport Mode,Type,Bandwidth,Auto Negotiate,Speed,Duplex,MTU,MAC Address,Physical Address,IP Address,Medium,Delay,Encapsulation,Flow Control Receive,Flow Control Send,Port Channel,Port Channel Member,Last Change,Input Broadcast,Input CRC Errors,Input Errors,Input MAC Pause Frames,Input Multicast,Input Octets,Input Unicast,Input Unknown,Input Total,Output Broadcast,Output Discard,Output Errors,Output MAC Pause Frames,Output Multicast,Output Unicast,Output Total,Last Clear,Input Rate,Load Interval,Output Rate
Ethernet1/1,VPC Peer Link,True,up,1,1,True,trunk,100/1000/10000 Ethernet,1000000,N/A,1000,full,9216,5254.000d.e744,5254.000d.e744,N/A,broadcast,10,arpa,False,False,Port-channel1,True,02:34:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/10,to,False,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e74d,5254.000d.e74d,N/A,broadcast,10,arpa,False,False,False,False,02:34:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/100,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7a7,5254.000d.e7a7,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/101,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7a8,5254.000d.e7a8,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/102,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7a9,5254.000d.e7a9,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/103,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7aa,5254.000d.e7aa,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/104,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7ab,5254.000d.e7ab,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/105,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7ac,5254.000d.e7ac,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/106,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7ad,5254.000d.e7ad,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/107,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7ae,5254.000d.e7ae,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/108,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7af,5254.000d.e7af,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/109,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7b0,5254.000d.e7b0,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/11,Link to inside-host01,True,up,101,1,True,access,100/1000/10000 Ethernet,1000000,N/A,1000,full,1500,5254.000d.e74e,5254.000d.e74e,N/A,broadcast,10,arpa,False,False,False,False,02:34:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/110,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7b1,5254.000d.e7b1,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/111,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7b2,5254.000d.e7b2,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/112,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7b3,5254.000d.e7b3,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/113,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7b4,5254.000d.e7b4,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/114,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7b5,5254.000d.e7b5,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/115,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7b6,5254.000d.e7b6,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/116,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7b7,5254.000d.e7b7,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/117,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7b8,5254.000d.e7b8,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/118,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7b9,5254.000d.e7b9,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/119,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7ba,5254.000d.e7ba,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/12,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e74f,5254.000d.e74f,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/120,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7bb,5254.000d.e7bb,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/121,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7bc,5254.000d.e7bc,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/122,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7bd,5254.000d.e7bd,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/123,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7be,5254.000d.e7be,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/124,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7bf,5254.000d.e7bf,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/125,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7c0,5254.000d.e7c0,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/126,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7c1,5254.000d.e7c1,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/127,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7c2,5254.000d.e7c2,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/128,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e7c3,5254.000d.e7c3,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/13,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e750,5254.000d.e750,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/14,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e751,5254.000d.e751,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/15,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e752,5254.000d.e752,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/16,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e753,5254.000d.e753,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/17,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e754,5254.000d.e754,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/18,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e755,5254.000d.e755,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/19,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e756,5254.000d.e756,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/2,VPC Peer Link,True,up,1,1,True,trunk,100/1000/10000 Ethernet,1000000,N/A,1000,full,9216,5254.000d.e745,5254.000d.e745,N/A,broadcast,10,arpa,False,False,Port-channel1,True,02:34:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/20,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e757,5254.000d.e757,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/21,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e758,5254.000d.e758,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/22,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e759,5254.000d.e759,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/23,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e75a,5254.000d.e75a,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/24,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e75b,5254.000d.e75b,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/25,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e75c,5254.000d.e75c,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/26,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e75d,5254.000d.e75d,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/27,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e75e,5254.000d.e75e,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/28,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e75f,5254.000d.e75f,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/29,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e760,5254.000d.e760,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/3,L3 link to dist-rtr01,True,up,N/A,N/A,N/A,N/A,100/1000/10000 Ethernet,1000000,N/A,1000,full,1500,5254.000d.e743,5254.000d.e746,172.16.252.1/30,broadcast,10,arpa,False,False,False,False,02:34:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/30,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e761,5254.000d.e761,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/31,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e762,5254.000d.e762,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/32,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e763,5254.000d.e763,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/33,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e764,5254.000d.e764,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/34,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e765,5254.000d.e765,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/35,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e766,5254.000d.e766,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/36,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e767,5254.000d.e767,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/37,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e768,5254.000d.e768,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/38,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e769,5254.000d.e769,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/39,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e76a,5254.000d.e76a,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/4,L3 link to dist-rtr02,True,up,N/A,N/A,N/A,N/A,100/1000/10000 Ethernet,1000000,N/A,1000,full,1500,5254.000d.e743,5254.000d.e747,172.16.252.5/30,broadcast,10,arpa,False,False,False,False,02:34:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/40,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e76b,5254.000d.e76b,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
Ethernet1/41,N/A,True,down,1,1,True,access,100/1000/10000 Ethernet,10000000,N/A,N/A,N/A,1500,5254.000d.e76c,5254.000d.e76c,N/A,broadcast,10,arpa,False,False,False,False,never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,never,0,300,0
